name,address,phone,website,latitude,longitude,url_status
Manhattan Bakery,100 Jerusalem Dr # 108 Morrisville NC 27560,(919) 463-0005,https://www.manhattanbakerync.com,35.85086633,-78.82658017,Accessible
Duck Donuts,100 Wrenn Dr # 101 Cary NC 27511,(919) 468-8722,https://www.duckdonuts.com,35.76489241,-78.7835168,Accessible
Karen Donatelli Cake Designs,1000 Hendersonville Rd Asheville NC 28803,(828) 225-5751,https://www.karendonatellicakedesigns.com,35.53824061,-82.53037125,Accessible
Mr A's Beignets LLC,1006 River Dee Ct Apex NC 27502,(919) 000-1111,https://www.squaredoughnuts.com,35.74144581,-78.88105879,Accessible
Godino's Bakery,1007 Nc Highway 150 W # A Summerfield NC 27358,(336) 298-7452,https://www.godinosbakery.com,36.19972981,-79.8476473,Accessible
K & S Cakes,101 Marion Ct Jacksonville NC 28546,(910) 265-6779,https://www.kandscakes.com,34.77129393,-77.40649469,Accessible
Sweet Palette,101 Person St E Fayetteville NC 28301,(910) 489-7342,https://www.thesweetpalette.com,35.0525223,-78.87798052,Accessible
Crumbl Cookies,10109 Northcross Ctr Ct # 130 Huntersville NC 28078,(704) 274-3480,https://www.crumblcookies.com,35.44331275,-80.85974881,Accessible
Crumbl Cookies,1011 S Main St # A Kernersville NC 27284,(336) 515-0062,https://www.crumblcookies.com,36.10849024,-80.09609175,Accessible
Miel Bon Bons,1011 W Main St Durham NC 27701,(919) 360-3332,https://www.mielbonbons.com,36.00067724,-78.91042397,Accessible
Hey Hey Cupcake!,102 W State St Black Mountain NC 28711,(828) 669-2253,https://www.heyheycupcake.com,35.6176692,-82.3209723,Accessible
Duck Donuts,1025 Rockford St # 400 Mt Airy NC 27030,(336) 648-8898,https://www.duckdonuts.com,36.48631911,-80.61170651,Accessible
Cake & All Things Yummy,103 E Mountain St Kernersville NC 27284,(336) 310-4504,https://www.cakeandallthingsyummy.com,36.11980277,-80.07311872,Accessible
Two Scoops Creamery Mcdnvll,103 Main St Mcadenville NC 28101,(704) 879-4223,https://www.twoscoopscreamerymcadenville.com,35.26092338,-81.07314479,Accessible
Crumbl Cookies,1039 Hanes Mall Blvd Winston Salem NC 27103,(336) 448-4794,https://www.crumblcookies.com,36.06627408,-80.31626713,Accessible
Insomnia Cookies,1040 S College Rd Wilmington NC 28403,(910) 370-8326,https://www.insomniacookies.com,34.21631545,-77.8858305,Accessible
C Cups Cupcakery,105 Cherokee Rd # 1E Pinehurst NC 28374,(910) 621-3299,https://www.theccupscupcakery.com,35.19237483,-79.47106006,Accessible
Peppered Cupcake,105 S Front St Wilmington NC 28401,(910) 399-1088,https://www.thepepperedcupcake.com,34.23386328,-77.94848047,Accessible
Icing & the Cake,105 Singleton Rd # 103 Mooresville NC 28117,(704) 663-0399,https://www.theicingandthecake.com,35.58757376,-80.87618025,Accessible
Sweets By Shayda,105 W Morgan St Durham NC 27701,(919) 454-4015,https://www.sweetsbyshayda.com,35.99762778,-78.89862179,Accessible
Burney's Sweets & More,106 Martin Luther King Elizabethtown NC 28337,(910) 862-2099,https://www.burneyssweetsandmore.com,34.62926508,-78.60747316,Accessible
Blue Collie Coffee,106 N Main St Louisburg NC 27549,(919) 400-9240,https://www.bluecolliecoffee.com,36.10027888,-78.29997699,Accessible
Martinho's Bakery & Deli,106 W Clay St Mebane NC 27302,(919) 563-8606,https://www.singlepage.com,36.09711984,-79.26774465,Accessible
Asali Desserts,107 Edinburgh Dr # 106-A Cary NC 27511,(919) 362-7882,https://www.asalievents.com,35.74029651,-78.79818271,Accessible
Baked Cookies & Dough,107 Edinburgh South Dr # 115 Cary NC 27511,(919) 377-0058,https://www.mixeddesserts.com,35.73744027,-78.8001865,Accessible
